диктор;уровень;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
2;1;8;ИК3;2,88;79,79;19,19;3019,00;3565,00;3461,00;0,19;0,15
3;1;8;ИК3;1,61;100,00;10,58;2147,00;2356,00;2356,00;0,15;0,15
4;1;8;ИК3;3,70;84,51;30,85;2588,00;3205,00;3089,00;0,14;0,12
5;1;8;ИК3;3,45;81,33;25,53;1530,00;1867,00;1740,00;0,17;0,14
6;1;8;ИК3;7,23;92,64;26,10;2356,00;3577,00;3542,00;0,30;0,28
7;1;8;ИК3;2,30;90,78;8,99;3030,00;3461,00;3391,00;0,28;0,26
8;1;8;ИК3;4,88;86,50;28,21;1216,00;1612,00;1565,00;0,20;0,17
9;2;8;ИК3;2,13;95,18;9,01;2751,00;3112,00;3112,00;0,25;0,24
10;2;8;ИК3;0,89;57,73;15,89;1763,00;1856,00;1798,00;0,10;0,06
11;2;8;ИК3;0,00;0,00;0,00;2472,00;2472,00;2100,00;0,18;0,00
12;2;8;ИК3;3,49;88,03;12,83;3019,00;3693,00;3635,00;0,31;0,27
13;2;8;ИК3;0,94;81,88;7,69;2926,00;3089,00;3089,00;0,15;0,12
14;2;8;ИК3;4,88;93,31;15,20;2716,00;3600,00;3600,00;0,34;0,32
15;2;8;ИК3;0,61;55,32;11,79;2914,00;3019,00;2972,00;0,09;0,05
16;2;8;ИК3;3,56;95,54;13,84;2240,00;2751,00;2728,00;0,27;0,26
17;3;8;ИК3;3,97;94,78;31,25;2798,00;3519,00;3519,00;0,13;0,13
18;3;8;ИК3;3,55;80,23;25,69;2763,00;3391,00;3112,00;0,17;0,14
19;3;8;ИК3;3,58;91,67;15,50;2786,00;3426,00;3356,00;0,25;0,23
20;3;8;ИК3;4,75;98,71;20,74;2728,00;3589,00;3589,00;0,23;0,23
21;3;8;ИК3;1,81;67,72;21,10;1891,00;2100,00;1927,00;0,13;0,09
22;3;8;ИК3;3,67;87,22;23,37;2809,00;3472,00;3449,00;0,18;0,16
23;3;8;ИК3;8,18;87,12;57,63;1635,00;2623,00;2577,00;0,16;0,14
24;3;8;ИК3;3,39;92,89;15,27;2798,00;3403,00;3368,00;0,24;0,22
